VEHICLE NAME,MAKE,MODEL,YEAR,Body style,First registration date,Condition,Colour,KM,KM_UNIT,Transmission,Drivetrain,Fuel type,KW,KW_UNIT,CAPACITY,CAPACITY UNIT,Doors,Fuel consumption,CO2 emissions,Seats,Cylinders,Kerb weight,Type approval number,Warranty,PRICE,CURRENCY,URL
SUZUKI SX4 S-Cross 1.4 16V Compact+ 4WD,SUZUKI,SX4, 2020 ,SUV,10.2020,Second hand/used,silver,10,KM,Manual,Four wheel drive,Petrol,140,KW,1'373,cc,5,7.3 / 5.5 / 6.2,141 g/km,5,4,1'380 kg,1SD849,Yes,28180,CHF,https://www.autolina.ch/en/auto/suzuki-sx4-s-cross/2608291
SKODA Octavia 1.5 TSI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),"black, met.",100,KM,Automatic,Front wheel drive,Petrol,110,KW,1'498,cc,5,0.0 / 0.0 / 5.1,116 g/km,5,4,1'505 kg,1SG729,Yes,29620,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593546
HONDA JAZZ 1.3i-VTEC Elegance CVT,HONDA,JAZZ, 2020 ,small car,,New car(s),grey,35,KM,Automatic,Front wheel drive,Petrol,102,KW,1'318,cc,5,5.6 / 4.6 / 5.0,114 g/km,5,4,1'130 kg,,,27050,CHF,https://www.autolina.ch/en/auto/honda-jazz/2590896
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG651,Yes,33230,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2602733
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG543,Yes,33230,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593548
SKODA Superb 2.0 TDi Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Four wheel drive,Diesel,140,KW,1'968,cc,5,0.0 / 0.0 / 5.0,132 g/km,5,4,1'890 kg,1SG712,Yes,54180,CHF,https://www.autolina.ch/en/auto/skoda-superb/2593545
SKODA Octavia 2.0TSI Soleil 4x4,SKODA,Octavia, 2020 ,Estate,,New car(s),"grey, met.",100,KM,Automatic,Four wheel drive,Petrol,140,KW,1'984,cc,5,0.0 / 0.0 / 6.6,150 g/km,5,4,1'678 kg,1SG670,Yes,33720,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2602735
SKODA Octavia 2.0 TDI Soleil,SKODA,Octavia, 2020 ,Estate,,New car(s),"black, met.",100,KM,Automatic,Front wheel drive,Diesel,110,KW,1'968,cc,5,0.0 / 0.0 / 4.3,112 g/km,5,4,1'609 kg,1SG652,Yes,34600,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2605707
SKODA Superb 2.0 TSI Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Four wheel drive,Petrol,199,KW,1'984,cc,5,0.0 / 0.0 / 7.1,161 g/km,5,4,1'870 kg,1SG718,Yes,58370,CHF,https://www.autolina.ch/en/auto/skoda-superb/2602734
SKODA Octavia 2.0 TSI  Amb. 4x4,SKODA,Octavia, 2020 ,Estate,,New car(s),grey,100,KM,Automatic,Four wheel drive,Petrol,140,KW,1'984,cc,5,0.0 / 0.0 / 6.6,150 g/km,5,4,1'678 kg,1SG670,Yes,34220,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2593543
